analysis,mass,intensity
20240815_67_BVCZ_1,148006.890625,5343.36516879885
20240815_67_BVCZ_1,148007.3125,5370.3286012493
20240815_67_BVCZ_1,148007.453125,5382.05493539175
20240815_67_BVCZ_1,148007.828125,5454.32971079282
20240815_67_BVCZ_1,148008.234375,5472.28659382493
20240815_67_BVCZ_1,148008.421875,5481.77049193771
20240815_67_BVCZ_1,148008.78125,5495.8656711624
20240815_67_BVCZ_1,148009.1875,5530.46977031193
20240815_67_BVCZ_1,148009.375,5557.88320143214
20240815_67_BVCZ_1,148009.71875,5531.48998644099
20240815_67_BVCZ_1,148010.125,5559.71113284221
20240815_67_BVCZ_1,148010.328125,5562.85947149469
20240815_67_BVCZ_1,148010.671875,5574.69044587208
20240815_67_BVCZ_1,148011.0625,5544.10005019617
20240815_67_BVCZ_1,148011.28125,5534.73765814449
20240815_67_BVCZ_1,148011.609375,5523.76551207215
20240815_67_BVCZ_1,148011.984375,5537.57438515227
20240815_67_BVCZ_1,148012.234375,5459.240783523
20240815_67_BVCZ_1,148012.5625,5492.79314139065
20240815_67_BVCZ_1,148012.9375,5481.20301688793
20240815_67_BVCZ_1,148013.203125,5447.52563701946
20240815_67_BVCZ_1,148013.5,5412.59751266067
20240815_67_BVCZ_1,148013.859375,5398.76900905929
20240815_67_BVCZ_1,148014.15625,5386.90666041427
20240815_67_BVCZ_1,148014.4375,5374.03213142594
20240815_67_BVCZ_1,148014.796875,5320.96427393597
20240815_67_BVCZ_1,148015.109375,5280.39660106158
20240815_67_BVCZ_1,148015.34375,5312.9987200357
20240815_67_BVCZ_1,148015.40625,5310.05902610277
20240815_67_BVCZ_1,148015.75,5222.28871192703
20240815_67_BVCZ_1,148016.0625,5226.89291757161
20240815_67_BVCZ_1,148016.25,5241.12202211922
20240815_67_BVCZ_1,148016.34375,5193.7721786732
20240815_67_BVCZ_1,148016.6875,5169.31528665748
20240815_67_BVCZ_1,148017.015625,5191.92524322297
20240815_67_BVCZ_1,148017.1875,5179.74125013541
20240815_67_BVCZ_1,148017.28125,5182.73817001353
20240815_67_BVCZ_1,148017.609375,5172.88513512959
20240815_67_BVCZ_1,148017.96875,5161.99711379564
20240815_67_BVCZ_1,148018.109375,5167.6528311616
20240815_67_BVCZ_1,148018.21875,5174.85048660693
20240815_67_BVCZ_1,148018.546875,5126.24345653228
20240815_67_BVCZ_1,148018.921875,5165.33011651448
