RT,PET_mz105_signal_1,PET_mz105_signal_2
13.91368333,66496.000,6242.000
13.9185,73008.000,5555.000
13.92331667,77160.000,4851.000
13.92813333,74360.000,5780.000
13.93293333,75280.000,6504.000
13.93775,73256.000,5530.000
13.94256667,70648.000,6450.000
13.94738333,69856.000,6277.000
13.9522,71112.000,5310.000
13.95701667,66512.000,4722.000
13.96183333,65832.000,4063.000
13.96665,63664.000,3691.000
13.97146667,66296.000,3097.000
13.97628333,66624.000,2938.000
13.9811,71264.000,2773.000
13.98591667,72560.000,2733.000
13.99073333,75968.000,2841.000
13.99553333,75008.000,2551.000
14.00035,74408.000,2547.000
14.00516667,72488.000,2524.000
14.00998333,68112.000,2747.000
14.0148,63088.000,2556.000
14.01961667,57440.000,3032.000
14.02443333,53768.000,2688.000
14.02925,49128.000,2650.000
14.03406667,46264.000,2803.000
14.03888333,40680.000,2981.000
14.0437,39544.000,2561.000
14.04851667,36024.000,2568.000
14.05333333,34320.000,2867.000
14.05813333,33680.000,3153.000
14.06295,32096.000,3122.000
14.06776667,29264.000,3336.000
14.07258333,28368.000,3278.000
14.0774,29056.000,4364.000
14.08221667,27648.000,4507.000
14.08703333,26744.000,4618.000
14.09185,27576.000,4734.000
14.09666667,26656.000,4542.000
14.10148333,28736.000,4058.000
14.1063,30968.000,4610.000
14.11111667,33800.000,3806.000
14.11593333,37576.000,3876.000
14.12073333,39536.000,3421.000
14.12555,45168.000,3194.000
14.13036667,50304.000,2416.000
14.13518333,52112.000,2296.000
14.14,60160.000,2347.000
14.14481667,67432.000,2074.000
14.14963333,67696.000,2240.000
14.15445,69000.000,1838.000
14.15926667,70760.000,2412.000
14.16408333,67136.000,2346.000
14.1689,63312.000,2440.000
14.17371667,58832.000,2942.000
14.17853333,55040.000,3212.000
14.18333333,50528.000,3443.000
14.18815,44688.000,4883.000
14.19296667,43936.000,5633.000
14.19778333,41008.000,6650.000
14.2026,38016.000,8038.000
14.20741667,37048.000,8879.000
14.21223333,36408.000,7668.000
14.21705,35776.000,8456.000
14.22186667,37592.000,7006.000
14.22668333,38624.000,6644.000
14.2315,40120.000,5622.000
14.23631667,45344.000,4756.000
14.24111667,50544.000,4458.000
14.24593333,56016.000,4383.000
14.25075,60200.000,4805.000
14.25556667,69320.000,5710.000
14.26038333,76088.000,7924.000
14.2652,79152.000,9031.000
14.27001667,86352.000,10296.000
14.27483333,86560.000,12091.000
14.27965,86952.000,13122.000
14.28446667,84784.000,14920.000
14.28928333,83784.000,14802.000
14.2941,84232.000,14816.000
14.29891667,81960.000,15096.000
14.30371667,83440.000,13243.000
14.30853333,87440.000,13435.000
14.31335,93976.000,12697.000
14.31816667,105616.000,11244.000
14.32298333,122816.000,10899.000
14.3278,139904.000,9788.000
14.33261667,157312.000,8686.000
14.33743333,175296.000,7623.000
14.34225,193472.000,6282.000
14.34706667,209792.000,4644.000
14.35188333,225152.000,4965.000
14.3567,238784.000,3890.000
14.36151667,256448.000,3597.000
14.36631667,255424.000,2897.000
14.37113333,248576.000,3472.000
14.37595,243328.000,3935.000
14.38076667,219648.000,4491.000
14.38558333,203328.000,5876.000
14.3904,175168.000,7794.000
14.39521667,145664.000,9967.000
14.40003333,122552.000,11959.000
14.40485,99008.000,14472.000
14.40966667,78192.000,18656.000
14.41448333,67272.000,20944.000
14.4193,57376.000,22392.000
14.42411667,50376.000,23464.000
14.42891667,44968.000,22968.000
14.43373333,43184.000,21184.000
14.43855,42176.000,22512.000
14.44336667,40424.000,20232.000
14.44818333,42480.000,20304.000
14.453,41512.000,20624.000
14.45781667,41504.000,19800.000
14.46263333,44648.000,18000.000
14.46745,52840.000,17608.000
14.47226667,61232.000,15504.000
14.47708333,80448.000,13685.000
14.4819,102792.000,10632.000
14.48671667,128152.000,9784.000
14.49151667,164352.000,8960.000
14.49633333,196544.000,8999.000
14.50115,231424.000,7759.000
14.50596667,263104.000,8880.000
14.51078333,271936.000,9564.000
14.5156,274880.000,10163.000
14.52041667,262656.000,11474.000
14.52523333,236224.000,14151.000
14.53005,211136.000,14565.000
14.53486667,168896.000,15994.000
14.53968333,141504.000,18032.000
14.5445,113064.000,20680.000
14.54931667,92976.000,21864.000
14.55411667,75680.000,23352.000
14.55893333,69296.000,25696.000
14.56375,61432.000,27432.000
14.56856667,59752.000,29528.000
14.57338333,57712.000,30592.000
14.5782,54440.000,32680.000
14.58301667,54112.000,32112.000
14.58783333,53880.000,34208.000
14.59265,53272.000,35432.000
14.59746667,54400.000,36128.000
14.60228333,53104.000,39496.000
14.6071,55120.000,40536.000
14.61191667,54984.000,44816.000
14.61671667,55232.000,46176.000
14.62153333,54136.000,45336.000
14.62635,55624.000,47144.000
14.63116667,54176.000,50792.000
14.63598333,50784.000,52920.000
14.6408,50504.000,55464.000
14.64561667,50752.000,54656.000
14.65043333,48608.000,56920.000
14.65525,47752.000,56696.000
14.66006667,45320.000,51648.000
14.66488333,46104.000,47104.000
14.6697,44344.000,41704.000
14.67451667,44640.000,40184.000
14.67931667,40992.000,43416.000
14.68413333,39632.000,50608.000
14.68895,38256.000,56720.000
14.69376667,36376.000,60360.000
14.69858333,37104.000,65272.000
14.7034,36216.000,63512.000
14.70821667,35520.000,63040.000
14.71303333,39040.000,57568.000
14.71785,39224.000,54152.000
14.72266667,42016.000,47152.000
14.72748333,43352.000,44816.000
14.7323,48928.000,40952.000
14.73711667,56720.000,36512.000
14.74191667,67904.000,33184.000
14.74673333,84200.000,29424.000
14.75155,115016.000,24728.000
14.75636667,164736.000,20312.000
14.76118333,231104.000,17856.000
14.766,311872.000,16384.000
14.77081667,405696.000,15983.000
14.77563333,497728.000,15617.000
14.78045,576384.000,15699.000
14.78526667,641024.000,16656.000
14.79008333,700800.000,18368.000
14.7949,687680.000,19232.000
14.79971667,662208.000,21584.000
14.80451667,600192.000,24288.000
14.80933333,531008.000,26416.000
14.81415,447104.000,29224.000
14.81896667,379712.000,33184.000
14.82378333,297728.000,39424.000
14.8286,244736.000,49264.000
14.83341667,204864.000,65560.000
14.83823333,166272.000,88112.000
14.84305,140864.000,117552.000
14.84786667,117264.000,153920.000
14.85268333,98432.000,185024.000
14.8575,83600.000,214080.000
14.86231667,69896.000,236480.000
14.86711667,56920.000,240576.000
14.87193333,50408.000,225344.000
14.87675,43024.000,204480.000
14.88156667,41800.000,175680.000
14.88638333,37432.000,148992.000
14.8912,36000.000,125240.000
14.89601667,37232.000,100040.000
14.90083333,34104.000,90464.000
14.90565,35760.000,83208.000
14.91046667,38128.000,77872.000
14.91528333,41760.000,78752.000
14.9201,45976.000,79600.000
14.9249,51728.000,82152.000
14.92971667,60232.000,81608.000
14.93453333,71832.000,85504.000
14.93935,83160.000,85592.000
14.94416667,96208.000,90784.000
14.94898333,108208.000,92816.000
14.9538,114592.000,95560.000
14.95861667,121544.000,99720.000
14.96343333,120296.000,102992.000
14.96825,113752.000,104664.000
14.97306667,109696.000,107880.000
14.97788333,102664.000,108320.000
14.9827,90848.000,110776.000
14.9875,82368.000,111144.000
14.99231667,73584.000,117560.000
14.99713333,63880.000,123600.000
15.00195,56488.000,125264.000
15.00676667,47304.000,125064.000
15.01158333,43280.000,130312.000
15.0164,38256.000,130456.000
15.02121667,35168.000,131712.000
15.02603333,31728.000,139392.000
15.03085,29256.000,139584.000
15.03566667,27504.000,147072.000
15.04048333,27104.000,147584.000
15.0453,28760.000,151488.000
15.0501,27832.000,160832.000
15.05491667,30720.000,163584.000
15.05973333,32752.000,169792.000
